"","dateTime8601","instrument","action","station","cast","lat","lon","comment","message.ID","cruise","year","month","day","time","dateTime","date","datetime_decimaldoy","speedlog_waterspeedfwd","speedlog_groundspeedfwd"
"94","2020-02-03 01:36:00+00:00","Bongo Net","deploy","L8","B8",40.121,-70.8076,NA,76,"EN649",2020,2,3,"01:36:00",2020-02-03 01:36:00,"2020-02-03 01:36:00+00:00",33.0666667,0.99,0.99
"95","2020-02-03 01:58:00+00:00","Bongo Net","recover","L8","B8",40.1117,-70.825,NA,77,"EN649",2020,2,3,"01:58:00",2020-02-03 01:58:00,"2020-02-03 01:58:00+00:00",33.0819444,1.63,1.63
"96","2020-02-03 09:31:54+00:00","Bongo Net","deploy","L9","B11",40.0902,-70.9232,NA,88,"EN649",2020,2,3,"09:31:54",2020-02-03 09:31:54,"2020-02-03 09:31:00+00:00",33.3965278,1.47,1.47
"97","2020-02-03 09:55:10+00:00","Bongo Net","recover","L9","B11",40.0885,-70.9436,NA,89,"EN649",2020,2,3,"09:55:10",2020-02-03 09:55:10,"2020-02-03 09:55:00+00:00",33.4131944,1.53,1.53
"98","2020-02-03 18:22:00+00:00","Bongo Net","deploy","L10","B12",39.9366,-70.9128,NA,96,"EN649",2020,2,3,"18:22:00",2020-02-03 18:22:00,"2020-02-03 18:22:00+00:00",33.7652778,1.64,1.64
"99","2020-02-03 18:59:00+00:00","Bongo Net","recover","L10","B12",39.9312,-70.9398,NA,100,"EN649",2020,2,3,"18:59:00",2020-02-03 18:59:00,"2020-02-03 18:59:00+00:00",33.7909722,1.76,1.76
"100","2020-02-04 13:16:12+00:00","Bongo Net","deploy","L11","B16",39.7693,-70.8872,NA,129,"EN649",2020,2,4,"13:16:12",2020-02-04 13:16:12,"2020-02-04 13:16:00+00:00",34.5527778,1.9,1.9
"101","2020-02-04 13:49:37+00:00","Bongo Net","recover","L11","B16",39.7605,-70.8931,NA,130,"EN649",2020,2,4,"13:49:37",2020-02-04 13:49:37,"2020-02-04 13:49:00+00:00",34.5756944,1.67,1.67
"102","2020-02-05 04:42:00+00:00","Bongo Net","deploy","L6","B19",40.2961,-70.8693,"started tow 4nm south of L6 to avoid fishing gear",157,"EN649",2020,2,5,"04:42:00",2020-02-05 04:42:00,"2020-02-05 04:42:00+00:00",35.1958333,1.84,1.84
"103","2020-02-05 04:57:00+00:00","Bongo Net","recover","L6","B19",40.2888,-70.8696,NA,158,"EN649",2020,2,5,"04:57:00",2020-02-05 04:57:00,"2020-02-05 04:57:00+00:00",35.20625,1.92,1.92
"104","2020-02-05 06:43:55+00:00","Bongo Net","deploy","L5","B20",40.5154,-70.8769,NA,161,"EN649",2020,2,5,"06:43:55",2020-02-05 06:43:55,"2020-02-05 06:43:00+00:00",35.2798611,1.23,1.23
"105","2020-02-05 06:53:55+00:00","Bongo Net","recover","L5","B20",40.5123,-70.8802,NA,162,"EN649",2020,2,5,"06:53:55",2020-02-05 06:53:55,"2020-02-05 06:53:00+00:00",35.2868056,1.51,1.51
"106","2020-02-05 09:31:03+00:00","Bongo Net","deploy","L4","B21",40.6991,-70.8866,NA,163,"EN649",2020,2,5,"09:31:03",2020-02-05 09:31:03,"2020-02-05 09:31:00+00:00",35.3965278,2.12,2.12
"107","2020-02-05 09:39:44+00:00","Bongo Net","recover","L4","B21",40.7024,-70.8897,NA,167,"EN649",2020,2,5,"09:39:44",2020-02-05 09:39:44,"2020-02-05 09:39:00+00:00",35.4020833,1.73,1.73
"108","2020-07-25 16:19:57+00:00","Bongo Net","deploy","L1","B1",41.2021,-70.879,NA,22,"EN655",2020,7,25,"16:19:57",2020-07-25 16:19:57,"2020-07-25 16:19:00+00:00",206.6798611,0.88,0.88
"109","2020-07-25 16:27:00+00:00","Bongo Net","recover","L1","B1",41.1997,-70.8768,NA,85,"EN655",2020,7,25,"16:27:00",2020-07-25 16:27:00,"2020-07-25 16:27:00+00:00",206.6854167,1.38,1.38
"110","2020-07-25 18:22:57+00:00","Bongo Net","deploy","L2","B2",41.0298,-70.8748,NA,23,"EN655",2020,7,25,"18:22:57",2020-07-25 18:22:57,"2020-07-25 18:22:00+00:00",206.7652778,1.69,1.69
